PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season,City,Latitude,Longitude,Day of Week,Hour,Month,Year,Weather Condition,Station ID,Date
94.43733659950782,253.53316003729896,57.75923155194011,3.676371793407621,2.568403676405837,116.38365330258377,4.578448935992045,43.40608201452739,7.861799360135881,266.3388894075642,990.7806538716634,30.034918577008806,18.27002825094864,4,Spring,Shenzhen,36.26812184334398,112.19925058106232,Sunday,2,7,2016,Haze,58,2016-07-01
194.1747895640595,165.60502376895855,75.11740343127136,22.24319891175683,1.5288234811020855,178.42855969577374,37.33224995697968,27.446097018489127,9.742233348540369,27.266464519390603,994.6163340629508,47.45427695794551,2.0491261169021877,48,Spring,Shanghai,48.629079983871776,105.23830183770646,Monday,17,11,2017,Cloudy,18,2017-11-01
45.03766145475919,24.73252612211087,61.40065712577629,2.309529274611469,2.6296544019942405,156.35483220076273,30.325762308351685,48.36432246197445,1.7497024984176823,258.8316387327883,1009.0128496777178,4.030126382946259,0.8130232083690647,49,Autumn,Beijing,32.155184455494606,127.6483363826531,Sunday,6,7,2017,Fog,35,2017-07-01
76.13185664614909,78.790749921206,77.27404646016166,24.302388557852662,1.7329263009550238,81.61193936999527,7.405654016371358,60.58265767399675,8.791379007189441,306.4821631451157,985.2735510971808,29.051923128836588,14.372229518672889,271,Summer,Shanghai,45.40078529808085,119.6157927553337,Monday,17,3,2020,Snow,77,2020-03-01
204.12792850538224,62.68068553325633,99.51937161355752,48.842644499649744,2.6878273597681765,70.31427658192978,6.1253761275533165,79.89036359533094,2.395132339771165,154.21080107423282,1046.8653503079083,14.824943092284837,10.706314441071756,372,Spring,Beijing,40.35374022739551,99.195909627058,Tuesday,3,12,2020,Clear,47,2020-12-01
104.71706967366568,83.67454724530006,46.49988422165258,7.444260811758141,4.548936477260469,194.08828800443703,16.686103252319924,10.771097958688296,5.903046662149399,289.68548610783336,1034.3819204753538,31.140756967530947,14.112509683293524,219,Autumn,Beijing,20.244942764197205,105.52858445057556,Thursday,4,4,2024,Fog,28,2024-04-01
55.31843980081372,187.1069161455731,73.00447998583178,29.48647931273231,2.310993017999753,22.61437177718245,8.834784311413372,87.09408424368542,3.6082887135317296,20.02733643165904,1016.0586592301174,11.65230332397203,0.9213139603552672,86,Autumn,Shenzhen,24.244805503827592,110.00669816575862,Friday,23,3,2019,Clear,21,2019-03-01
37.53759095613524,108.60684917820998,95.97782320932215,19.14298273784373,0.7213977653104932,15.83242227371749,4.72215337569795,29.88227468435825,8.992637240568653,344.07406235436804,995.9449701831612,17.942761276234048,11.322675181033246,292,Autumn,Shenzhen,20.11589883475006,101.91456593033854,Wednesday,21,6,2023,Cloudy,3,2023-06-01
130.9501252735452,154.54265848418268,13.042880289850087,43.50469010502904,3.735446362890453,153.30269879084832,31.555380480040355,67.61949146686722,7.639077555990931,233.21930885529983,1005.0899603126112,34.95608875419864,9.412054652349854,208,Spring,Chengdu,48.5110114545888,127.42274549992902,Tuesday,9,9,2021,Snow,23,2021-09-01
83.7942463821962,87.95313597051161,12.103386962343338,34.484429578786084,1.9552639351440464,186.09870299374413,-3.625665352730464,83.67539556779434,2.579383109667379,43.541038949904575,991.7600861943132,21.79784239327188,2.110079645976456,139,Autumn,Guangzhou,30.43487262787327,128.01313834209697,Monday,15,10,2017,Haze,25,2017-10-01
